timestamp,Capture Time Gap,In Throughput,Out Throughput,CBIQ,deepcci,in_seq_num,out_seq_num
0.086,-1.0,0.0,12.112,0,0.0,0.0,2087523069.0
0.087,1750.0,12.112,12.112,0,1.0,2087611397.0,2087611397.0
0.088,-1.0,0.0,12.112,0,0.0,0.0,2087734477.0
0.089,1470.0,24.224,12.112,0,2.0,2087812669.0,2087848869.0
0.09,1222.0,12.112,12.112,0,1.0,0.0,2087979189.0
0.091,-1.0,0.0,12.112,0,0.0,0.0,2088079101.0
0.092,1775.0,12.112,12.112,0,1.0,0.0,2088222453.0
0.093,720.0,12.112,12.112,39096,1.0,2088373045.0,2088333949.0
0.094,1282.0,12.112,12.112,118736,1.0,2088546805.0,2088428069.0
0.095,1177.0,12.112,12.112,124528,1.0,2088671333.0,2088546805.0
0.096,-1.0,0.0,12.112,0,0.0,0.0,2088671333.0
0.097,1606.0,58.448,12.112,0,1.0,2088711877.0,2088711877.0
0.098,1028.0,12.112,12.112,2896,1.0,2088837853.0,2088834957.0
0.099,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.1,1805.0,35.28,12.112,0,1.0,2088923285.0,2088923285.0
0.101,1184.0,12.112,12.112,0,1.0,2089030437.0,2089030437.0
0.102,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.103,1802.0,12.112,12.112,0,1.0,2089124557.0,2089124557.0
0.104,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.105,1663.0,46.864,24.224,0,1.0,2089240397.0,2089240397.0
0.106,1210.0,82.144,12.112,0,2.0,2089402573.0,2089404021.0
0.107,1425.0,46.864,12.112,0,1.0,2089454701.0,2089454701.0
0.108,1191.0,23.696,0.0,0,1.0,2089498141.0,0.0
0.109,-1.0,0.0,12.112,0,0.0,0.0,2089566197.0
0.11,1703.0,23.696,12.112,0,1.0,2089631357.0,2089631357.0
0.111,1112.0,12.112,12.112,23168,1.0,2089761677.0,2089738509.0
0.112,-1.0,0.0,12.112,0,0.0,0.0,2089852901.0
0.113,1377.0,58.448,12.112,0,1.0,2089870277.0,2089933989.0
0.114,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.115,1941.0,12.112,24.224,0,1.0,2089999149.0,2089999149.0
0.116,1500.0,12.112,12.112,0,1.0,2090158429.0,2090158429.0
0.117,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.118,1493.0,12.112,24.224,0,1.0,2090259789.0,2090259789.0
0.119,1656.0,23.696,12.112,0,1.0,2090401693.0,2090401693.0
0.12,773.0,12.112,12.112,0,1.0,2090492917.0,2090492917.0
0.121,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.122,1960.0,12.112,12.112,0,1.0,2090543597.0,2090543597.0
0.123,1467.0,12.112,0.0,0,1.0,2090631925.0,0.0
0.124,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.125,1223.0,104.784,24.224,0,1.0,2090702877.0,2090702877.0
0.126,1664.0,12.112,12.112,0,1.0,2090820165.0,2090820165.0
0.127,-1.0,0.0,12.112,0,0.0,0.0,2090925869.0
0.128,1975.0,12.112,12.112,0,1.0,2090970757.0,2090970757.0
0.129,782.0,162.704,12.112,24616,1.0,2091086597.0,2091061981.0
0.13,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.131,1518.0,46.864,24.224,0,1.0,2091166237.0,2091166237.0
0.132,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.133,1989.0,360.16,24.224,0,2.0,2091312485.0,2091312485.0
0.134,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.135,1412.0,255.904,24.224,0,2.0,2091465973.0,2091465973.0
0.136,1267.0,12.112,12.112,0,1.0,2091545613.0,2091545613.0
0.137,-1.0,0.0,12.112,0,0.0,0.0,2091674485.0
0.138,1520.0,12.112,12.112,0,1.0,2091680277.0,2091752677.0
0.139,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.14,2378.0,23.696,12.112,0,1.0,2091755573.0,2091755573.0
0.141,-1.0,0.0,12.112,0,0.0,0.0,2091887341.0
0.142,1541.0,12.112,12.112,0,1.0,0.0,2092019109.0
0.143,1501.0,12.112,12.112,0,1.0,0.0,2092123365.0
0.144,1034.0,12.112,12.112,2896,1.0,2092243549.0,2092240653.0
0.145,-1.0,0.0,12.112,0,0.0,0.0,2092373869.0
0.146,1722.0,267.488,12.112,0,2.0,2092376765.0,2092378213.0
0.147,1193.0,12.112,12.112,0,1.0,2092475229.0,2092475229.0
0.148,1315.0,12.112,12.112,0,1.0,2092563557.0,2092563557.0
0.149,1076.0,12.112,12.112,94120,1.0,2092735869.0,2092641749.0
0.15,1027.0,12.112,12.112,0,1.0,2092748901.0,2092748901.0
0.151,712.0,12.112,12.112,0,1.0,2092782205.0,2092782205.0
0.152,987.0,12.112,12.112,0,1.0,2092866189.0,2092866189.0
0.153,1001.0,12.112,12.112,0,1.0,2092931349.0,2092931349.0
0.154,-1.0,0.0,12.112,0,0.0,0.0,2093060221.0
0.155,1470.0,24.224,12.112,0,2.0,2093126829.0,2093174613.0
0.156,773.0,12.112,12.112,36200,1.0,2093322309.0,2093286109.0
0.157,923.0,12.112,12.112,2896,1.0,2093387469.0,2093384573.0
0.158,-1.0,0.0,12.112,0,0.0,0.0,2093503309.0
0.159,1977.0,522.336,12.112,0,2.0,2093582949.0,2093584397.0
0.16,997.0,12.112,12.112,28960,1.0,2093778429.0,2093749469.0
0.161,-1.0,0.0,12.112,0,0.0,0.0,2093845037.0
0.162,1639.0,24.224,12.112,0,2.0,2093908749.0,2093973909.0
0.163,749.0,12.112,12.112,21720,1.0,2094104229.0,2094082509.0
0.164,840.0,12.112,12.112,0,1.0,2094169389.0,2094169389.0
0.165,1406.0,12.112,12.112,28960,1.0,2094364869.0,2094335909.0
0.166,1023.0,12.112,12.112,0,1.0,2094430029.0,2094430029.0
0.167,940.0,12.112,12.112,36200,1.0,2094560349.0,2094524149.0
0.168,978.0,12.112,12.112,97016,1.0,2094755829.0,2094658813.0
0.169,-1.0,0.0,12.112,0,0.0,0.0,2094757277.0
0.17,1498.0,12.112,12.112,8688,1.0,2094886149.0,2094877461.0
0.171,929.0,24.224,12.112,13032,2.0,2095016469.0,2095003437.0
0.172,-1.0,0.0,12.112,0,0.0,0.0,2095117829.0
0.173,1443.0,24.224,12.112,0,2.0,2095146789.0,2095211949.0
0.174,989.0,12.112,12.112,0,1.0,2095342269.0,2095342269.0
0.175,1020.0,12.112,12.112,0,1.0,2095407429.0,2095407429.0
0.176,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.177,1426.0,24.224,24.224,0,2.0,2095472589.0,2095472589.0
0.178,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.179,1667.0,24.224,24.224,0,2.0,2095602909.0,2095602909.0
0.18,537.0,12.112,12.112,0,1.0,2095733229.0,2095733229.0
0.181,1265.0,12.112,12.112,0,1.0,2095863549.0,2095863549.0
0.182,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.183,1450.0,24.224,24.224,0,2.0,2095928709.0,2095928709.0
0.184,1043.0,12.112,12.112,0,1.0,2095993869.0,2095993869.0
0.185,-1.0,0.0,12.112,0,0.0,0.0,2096118397.0
0.186,1470.0,35.808,12.112,0,2.0,2096124189.0,2096189349.0
0.187,839.0,12.112,12.112,0,1.0,2096254509.0,2096254509.0
0.188,1407.0,12.112,12.112,0,1.0,2096319669.0,2096319669.0
0.189,537.0,510.224,12.112,0,1.0,2096386277.0,2096386277.0
0.19,1207.0,12.112,12.112,0,1.0,2096449989.0,2096449989.0
0.191,854.0,12.112,12.112,5792,1.0,2096580309.0,2096574517.0
0.192,-1.0,0.0,12.112,0,0.0,0.0,2096683117.0
0.193,1710.0,24.224,0.0,0,2.0,2096710629.0,0.0
0.194,1058.0,12.112,12.112,0,1.0,2096840949.0,2096840949.0
0.195,1293.0,12.112,12.112,0,1.0,2096906109.0,2096906109.0
0.196,-1.0,0.0,12.112,0,0.0,0.0,2096975613.0
0.197,1297.0,12.112,0.0,0,1.0,2097036429.0,0.0
0.198,890.0,12.112,12.112,0,1.0,2097040773.0,2097040773.0
0.199,1289.0,12.112,12.112,0,1.0,2097101589.0,2097101589.0
0.2,996.0,12.112,12.112,0,1.0,2097166749.0,2097166749.0
0.201,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.202,1830.0,24.224,24.224,0,2.0,2097297069.0,2097297069.0
0.203,1004.0,12.112,12.112,0,1.0,2097427389.0,2097427389.0
0.204,921.0,12.112,12.112,0,1.0,2097492549.0,2097492549.0
0.205,-1.0,0.0,12.112,0,0.0,0.0,2097593909.0
0.206,1534.0,383.328,12.112,0,2.0,2097622869.0,2097624317.0
0.207,1178.0,12.112,12.112,0,1.0,2097688029.0,2097688029.0
0.208,1186.0,12.112,12.112,8688,1.0,2097818349.0,2097809661.0
0.209,704.0,12.112,12.112,0,1.0,2097883509.0,2097883509.0
0.21,1007.0,12.112,12.112,0,1.0,2097948669.0,2097948669.0
0.211,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.212,1713.0,24.224,24.224,0,2.0,2098013829.0,2098013829.0
0.213,1097.0,12.112,12.112,0,1.0,2098144149.0,2098144149.0
0.214,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.215,2150.0,12.112,12.112,0,1.0,2098209309.0,2098209309.0
0.216,796.0,12.112,12.112,7240,1.0,2098339629.0,2098332389.0
0.217,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.218,1952.0,23.696,12.112,0,1.0,2098469949.0,2098469949.0
0.219,1475.0,12.112,12.112,28960,1.0,2098665429.0,2098636469.0
0.22,535.0,510.224,12.112,0,1.0,2098732037.0,2098732037.0
0.221,1427.0,12.112,12.112,8688,1.0,2098860909.0,2098852221.0
0.222,980.0,12.112,12.112,0,1.0,2098926069.0,2098926069.0
0.223,757.0,23.696,12.112,0,1.0,2098991229.0,2098991229.0
0.224,1242.0,12.112,12.112,0,1.0,2099056389.0,2099056389.0
0.225,581.0,12.112,12.112,0,1.0,2099121549.0,2099121549.0
0.226,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.227,2187.0,12.112,12.112,0,1.0,2099251869.0,2099251869.0
0.228,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.229,1733.0,464.416,24.224,0,2.0,2099382189.0,2099382189.0
0.23,-1.0,0.0,12.112,0,0.0,0.0,2099550157.0
0.231,1732.0,24.224,12.112,0,2.0,2099577669.0,2099642829.0
0.232,1216.0,23.696,12.112,26064,1.0,2099773149.0,2099747085.0
0.233,1244.0,12.112,12.112,34752,1.0,2099903469.0,2099868717.0
0.234,731.0,12.112,12.112,0,1.0,2099968629.0,2099968629.0
0.235,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.236,1495.0,24.224,24.224,0,2.0,2100098949.0,2100098949.0
0.237,-1.0,0.0,12.112,0,0.0,0.0,2100233613.0
